pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass_est,SEPHI_simple,recon_error,latent_dist,VAE_anomaly,mass_est_planet
TOI-6716 b,0.982,,0.9600725952813067,4.4,3110.0,0.88,369.0,0.392974457819979,0.16171546290294694,0.014532243415077027,3.808264863967231,8.668591088988145e-11,7.070559,2.5723886308644834,0.10198369689144608,0.9091562665553539
Kepler-725 c,3.08,9.7,0.33030852994555354,1.4,5395.0,0.436,268.0,0.42854331300355397,0.3826007004171556,0.07557300849493256,40.42597917482252,0.9869204233620122,1.4318815,2.7577237116520776,0.07561499932029599,9.650991622504538
GJ 514 b,2.13,,0.5372050816696915,0.28,3728.0,0.45,202.0,0.4055307150638285,0.19954439718963546,0.031041299353524482,21.745406561079005,0.957358945793002,2.3878696,2.1000231067308017,0.06464572199383303,5.191333415607986
TOI-2257 b,2.194,,0.515426497277677,0.6703,3430.0,0.496,256.0,0.44053531260948686,0.3795937239082588,0.023080621894531767,22.80159461726745,0.9772260769744017,2.6488953,1.9974367694290127,0.06354879964975832,5.443479740573503
GJ 3138 d,3.23,,0.3103448275862069,0.1,3717.0,0.32,151.7,0.3162345793657445,0.07106356896892757,0.03074744884329165,43.80671505347891,0.7694309613051753,1.9254192,2.090010100816643,0.061861533670920434,10.458082862068967
GJ 229 A c,2.87,,0.36116152450090744,0.1899,3564.0,0.366,188.1,0.35737176212764477,0.1338675733191182,0.026660255382802738,35.763151055483824,0.8891156317033079,2.030263,2.016691006884457,0.06062922166818236,8.537823406533576
Kepler-22 b,2.1,9.1,0.9437386569872959,1.013,5596.0,0.72,279.0,0.48832587072202566,0.5043622609363851,0.08094245872734637,36.609874346631436,0.9939689819515727,4.1463056,1.5113476879307166,0.05978094800193555,8.739963702359349
Kepler-409 b,1.199,6.0,3.4482758620689657,6.15,5421.0,0.69,438.0,0.34975320867244053,0.10876459968790103,0.07626756424640307,24.89706543324881,1.2020417918272652e-30,4.4793386,1.4085827921731684,0.059074709259109986,5.943736548275863
Kepler-130 d,1.64,,0.7531760435571688,9.834,5884.0,0.8,451.0,0.3447444802016172,0.0749995969936408,0.08863599935885562,13.916071494991721,2.3510243542861734e-107,4.8316092,1.2588522367767538,0.05731616090750445,3.322217350272232
HD 20794 f,2.28,,0.49001814882032674,0.3746,5368.0,0.45,214.52,0.4321276568823045,0.2576795559276017,0.07485173906073025,24.327938855799818,0.9785333847905456,1.8508036,1.8618989087593483,0.055828437626115564,5.807867586206895
HD 40307 g,2.56,,0.4228675136116153,0.6378,4956.0,0.29,255.0,0.48251095463269966,0.40227943498135943,0.06384570176843195,29.71753804780731,0.9823356441531578,0.9223183,2.0631101729370953,0.0556946298999505,7.094539615245011
TOI-1470 c,2.47,7.24,0.4827586206896552,3.35,3709.0,0.5,373.0,0.3873640865804858,0.20108913409992663,0.030533739381307098,30.472599715378802,0.0006719174439521673,2.2075198,1.6060379864935475,0.05147781316784503,7.274797310344829
HD 31527 d,3.46,,0.28493647912885667,1.8299,5898.0,0.24,327.48,0.4482671312018487,0.3457307553360572,0.08900999091732384,49.43846286290655,0.9894993260514467,0.54521674,1.937353808993523,0.05052526713329905,11.80256361524501
GJ 9404 b,3.48,,0.2813067150635209,11.2454,3811.0,0.49,473.5,0.2785681349068017,0.056910323768043176,0.03325853502163232,49.65996858244416,3.2056076673071447e-149,1.9358203,1.5997600322329049,0.04983230241803411,11.855444210526317
K2-264 c,2.668,,0.3992740471869329,2.5922,3660.0,0.45,331.0,0.39500413835755266,0.24518785148391242,0.02922476892664001,31.762682031868955,0.24181633158032478,1.9061966,1.6025466665147599,0.049738465035683,7.582781776842107
GJ 414 A b,2.63,,0.4174228675136116,2.2033,4120.0,0.45,308.6,0.4133806993952955,0.2836536374339951,0.04151306299085678,31.80768720695621,0.834045860800063,1.7186725,1.6408195219939343,0.04965312782613543,7.593525970961886
HD 48948 c,2.6,,0.411978221415608,15.5,4593.0,0.55,553.0,0.29000786268666195,0.04413448979236728,0.05414863493080167,30.330733388615087,2.464184e-317,2.092032,1.5028424627911872,0.04830004986549853,7.240929219600726
TOI-2120 b,2.122,6.8,0.16989639537353637,3.61,3131.0,0.32,384.0,0.35487554777723107,0.17225508145516824,0.015093230752789235,6.8,2.6686087602684115e-05,1.680961,1.5874010263268934,0.04812927091128362,1.6233804195373325
TOI-912 b,1.93,5.1,0.7259528130671506,15.0,3572.0,0.58,551.0,0.3143550376542301,0.049024477602630095,0.026873964844791414,21.860944858984414,2.5628661922357144e-294,2.8992639,1.2498318466961358,0.0464915480065569,5.21891615245009
Kapteyn c,2.54,,0.426497277676951,0.1666,3550.0,0.23,165.59,0.3976549921647275,0.13375642496918774,0.0262862638243269,29.2756146907002,0.8584126694571181,1.5767108,1.5327651664141002,0.04621032345911063,6.989038185117969
K2-18 c,2.65,,0.40290381125226865,7.0278,3457.0,0.47,363.0,0.3319176377557265,0.09881054151614094,0.023801891328735742,31.40708332318338,1.1992499660629885e-44,2.034092,1.4182558205896765,0.04589680663163101,7.497888838475499
Kepler-296 f,1.8,,0.5807622504537205,0.62,3740.0,0.33,274.0,0.49729923974216794,0.4048071999104156,0.03136186354650441,14.187455230091752,0.9597039016541411,1.604586,1.5135637296290347,0.04588988766923322,3.3870054446460984
TOI-1448 b,2.749,19.5,0.2240896418655354,5.45,3412.0,0.36,426.0,0.33123753875023193,0.12007207172175952,0.022599775605061205,19.5,2.0018828906806604e-21,1.5024898,1.4988294080002575,0.04496646467461784,4.655282085437939
HD 103949 b,3.35,,0.29764065335753176,1.3983,4792.0,0.19,302.65,0.48108583227979734,0.43332083084488954,0.05946465779771012,46.87219368679577,0.9889031351585309,0.49755424,1.7078143613776813,0.04460484383945647,11.189911978221417
TRAPPIST-1 h,0.755,0.326,0.7554954627949183,0.144,2566.0,0.00567,171.7,0.5660796874854979,0.1665451521649977,0.0,1.3619505038052466,0.6330392079834346,2.8097525,1.1762750175588732,0.04418700230842569,0.32514173239065336
