pl_name,VAE_anomaly,ESI_equal,CDHS,SEPHI_simple,pl_rade,pl_dens,pl_insol,st_teff,pl_orbeccen
NSVS 14256825 b,1.9999999999999754,0.2521221436336437,0.9999999999997045,7.283687206417824e-103,12.3,2.4137931034482762,9.6678,40000.0,0.12
NY Vir b,1.3756870782394623,0.3017953709549008,0.8071272105568843,0.8809662160288813,13.3,0.3103448275862069,2.178,32780.0,0.15
V0391 Peg b,1.1464458696932998,0.0,0.0,3.264425644582205e-95,13.1,0.45190562613430135,9.375,29300.0,0.0
2MASS J19383260+4603591 b,1.0989659338902928,0.15917844346076532,0.7212160068383864,0.0,13.4,0.25045372050816694,33.2985,29564.0,0.33
mu2 Sco b,0.6433314732868898,0.2103513501565936,0.5111396057059059,0.7902396382201681,12.3,2.4500907441016335,0.1074,21700.0,0.56
DP Leo b,0.28563726477330764,0.06764155145404319,0.0,0.612797929080066,12.7,0.9709618874773139,0.0001,13500.0,0.39
GJ 680 b,0.1522284568632356,0.07324309827665249,0.026633541700058577,0.6131409958198552,12.0,4.609800362976406,0.0003,3563.0,0.381
GJ 15 A c,0.1497487428207271,0.0957831766141531,0.02780894374097594,0.6123493438278975,6.67,0.12105263157894738,0.0008,3607.0,0.27
KIC 3526061 b,0.14651826537023888,0.28654490571363034,0.06045306405940823,1.0,12.1,3.248638838475499,0.6208,4829.0,0.85
G 192-15 c,0.14387335505414406,0.1113489436289793,0.011567024630013705,0.6101703195201262,3.87,0.24682395644283125,0.0016,2999.0,0.676
AB Aur b,0.13688269793644933,0.15702751788234187,0.19244537051873287,0.624115669501706,12.5,1.4609800362976408,0.0067,9770.0,0.4
GJ 179 b,0.13599086998205323,0.1109783300226665,0.021477800929630423,0.6174270469968537,13.8,0.11451905626134302,0.0028,3370.0,0.21
iot Dra b,0.13151167049546358,0.19953224523568058,0.051771117166209926,0.0,12.4,1.960072595281307,24.9999,4504.0,0.701
GJ 849 c,0.12999764025280658,0.1058312470093997,0.024069028156214863,0.6143403100931184,13.8,0.11941923774954628,0.001,3467.0,0.092
GJ 163 d,0.12919754991344679,0.17567088295116198,0.024950579686909412,0.6418690615016258,5.92,0.1413793103448276,0.0184,3500.0,0.373
HD 26161 b,0.12914843125589417,0.15173822760938954,0.09327402895762554,0.6542132175104138,11.9,5.353901996370237,0.0243,6057.62,0.922
HD 62364 c,0.12867967522936974,0.09780920462935806,0.09854677565848194,0.6160568689412488,12.0,4.573502722323049,0.002,6255.0,0.773
GJ 433 c,0.12781942343451436,0.11600765002901965,0.02390874605972525,0.6122673952547739,6.27,0.13121597096188747,0.0009,3461.0,0.12
HD 1690 b,0.12527501883862788,0.2241968717164752,0.048298338408929595,0.0,12.5,1.4264972776769511,17.8958,4374.0,0.64
HD 87816 b,0.12258252623739985,0.227378723650803,0.06472725329913194,0.0,12.7,1.043557168784029,17.2656,4989.0,0.78
HIP 948 b,0.12037589794409573,0.10431209532365494,0.051584121386970626,0.613998643574185,12.1,3.68421052631579,0.0008,4497.0,0.23
HIP 66074 b,0.11938274087770316,0.2682607959516317,0.046321525885551634,0.9511472037828663,12.9,0.7386569872958259,0.2381,4300.0,0.948
