pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt,ESI_equal,ESI_sm,CDHS,mass,SEPHI_simple,VAE_anomaly
MASCARA-1 b,17.90074218,1175.971,0.2722323049001815,38711.5,7490.0,0.00034,2594.3,0.03819749729848704,5.465561583718863e-06,0.13153817385264455,6540.958327122757,0.0,0.7505381128877455
NSVS 14256825 b,12.3,,2.4137931034482762,9.6678,40000.0,0.12,473.47,0.2521221436336437,0.06902725581652043,0.9999999999999675,18814.989735886786,7.283687206417824e-103,0.4766870367345747
KOI-13 b,16.948008,2949.4624,0.6533575317604357,25339.901,7650.0,0.00064,2550.0,0.05357949010023821,1.1357415029246118e-05,0.13581236309237296,13322.799504042812,0.0,0.3922686589258336
NY Vir b,13.3,730.978,0.3103448275862069,2.178,32780.0,0.15,338.12,0.3017953709549008,0.24877610649365123,0.8071272105572255,3058.3560479021503,0.8809662160288813,0.3474874598988077
2MASS J19383260+4603591 b,13.4,603.877,0.25045372050816694,33.2985,29564.0,0.33,669.65,0.15917844346076532,0.014743920526287141,0.7212160068386856,2524.2391136693914,0.0,0.3381695230132763
V0391 Peg b,13.1,,0.45190562613430135,9.375,29300.0,0.0,519.69,0.0,0.0,0.0,4255.4965671630525,3.264425644582205e-95,0.25449538435817975
mu2 Sco b,12.3,4576.7290608,2.4500907441016335,0.1074,21700.0,0.56,159.05,0.2103513501565936,0.057613448552587924,0.511139605706031,19097.921912366284,0.7902396382201681,0.1984636001803712
Kepler-1171 b,2.56,,0.42105263157894735,10171.005,7044.0,0.0,2700.0,0.0,0.0,0.0,29.58999496605706,0.0,0.1136329167451108
DP Leo b,12.7,1995.88832,0.9709618874773139,0.0001,13500.0,0.39,24.39,0.06764155145404319,3.3653610802078185e-05,0.292087407169947,8331.092478470533,0.612797929080066,0.09571022472484754
Kepler-929 b,1.11,,1.029038112522686,8159.933,5869.0,0.0,2362.0,0.0,0.0,0.0,5.895070533268197,0.0,0.09506933565518048
Kepler-1373 b,1.16,,1.0544464609800364,8385.9,6299.0,0.0,1887.0,0.0,0.0,0.0,6.894251313357239,0.0,0.09421417616828867
WASP-33 b,17.855937,665.21819,0.1250453720508167,9392.0471,7430.0,0.0,2781.7,0.0,0.0,0.0,2981.9761612233137,0.0,0.08978754667471574
HD 26161 b,11.9,9045.39646322,5.353901996370237,0.0243,6057.62,0.922,110.98,0.15173822760938954,0.010757702661876565,0.09327402895763116,37792.00301721871,0.6542132175104138,0.08584703216325909
Kepler-1613 b,2.08,,0.5517241379310345,6797.623,6005.0,0.0,1926.0,0.0,0.0,0.0,20.79699555273639,0.0,0.07640052855432145
HD 128717 b,12.1,6293.0024586,3.5390199637023594,0.0892,6210.0,0.85,151.9,0.21009245591432354,0.046651713889954836,0.09734465993481765,26261.996115724294,0.7618035537577782,0.07571135057218181
HATS-70 b,15.513256,4100.007,1.2050816696914701,9110.0,7930.0,0.18,2730.0,0.08083667066441683,4.35603035648021e-05,0.1432921942618998,18845.77352071125,0.0,0.07558616594682625
TIC 241249530 b,13.29385111,1582.78546686,0.6715063520871144,6.2305,6166.0,0.9412,438.94,0.2536061059784586,0.09244626981679144,0.09616925789389268,6608.321532535602,8.118959258384644e-32,0.07486972928909276
HD 62364 c,12.0,7923.46218651,4.573502722323049,0.002,6255.0,0.773,58.7,0.09780920462935806,0.000720783776645612,0.09854677565849122,33104.06220354741,0.6160568689412488,0.07437576684256088
