pl_name,pl_rade,pl_masse,pl_dens,pl_insol,st_teff,pl_orbeccen,pl_eqt
"HD 80653 b",1.62100000,5.61000000000000e+00,7.240000,6130.0000,5959.00,0.000000,2438.00
"K2-312 c",12.80000000,,4.410000,0.4596,5959.00,0.843500,229.00
"XO-2 S d",13.00000000,,2.950000,0.0253,5325.00,0.091000,110.98
"Kepler-1808 b",3.02511302,,1.870000,30.9400,5530.00,0.000000,601.00
"Kepler-418 b",13.45000000,3.49611247700000e+02,,8.8770,5820.00,0.200000,434.00
"Kepler-249 d",1.57000000,,4.390000,4.4740,3568.00,0.000000,332.00
"OGLE-2017-BLG-0364L b",10.30000000,7.58000000000000e+01,0.381000,,,,
"Kepler-1408 b",0.89000000,,4.990000,1982.2680,6170.00,0.000000,1616.00
"HR 8799 b",13.00000000,2.00000000000000e+03,5.000000,0.0011,7204.58,,1200.00
"Kepler-500 b",2.58000000,,2.300000,193.6800,5813.00,0.000000,909.00
"CoRoT-17 b",11.43000000,7.72290000000000e+02,2.820000,640.9232,5740.00,0.000000,1626.00
"OGLE-2017-BLG-0373L b",14.00000000,1.27000000000000e+02,0.254000,,,,
"CoRoT-7 d",4.31000000,1.71420000000000e+01,1.180000,,5250.00,,
"Kepler-1685 b",2.57673985,,2.300000,36.0100,5484.00,0.000000,625.00
"Kepler-296 b",1.61000000,,3.000000,6.5000,3740.00,0.330000,495.00
"TOI-1744.01",2.68000000,,2.180000,63.3100,6179.00,,598.00
"KMT-2021-BLG-1547L b",13.60000000,4.67207758290000e+02,1.020000,,,,
"TOI-4377 b",15.10970598,3.04161785499000e+02,0.881000,430.9826,4974.00,0.045000,1162.08
"HD 64114 b",4.41000000,,1.140000,12.0441,5676.00,0.120000,518.51
"TOI-858 B b",14.06727078,3.49611247700000e+02,0.690000,908.9000,5842.00,0.150000,1529.00
"HD 27969 b",12.90000000,,3.910000,0.7600,5966.00,0.182000,261.00
"Kepler-1947 b",1.01016660,,5.380000,229.4000,6040.00,0.000000,1298.00
"Kepler-81 d",1.21000000,,5.960000,7.5070,4500.00,0.000000,418.00
"Kepler-900 b",2.08000000,,3.040000,54.1090,4836.00,0.000000,716.00
"TOI-1296 b",14.11645916,9.53000000000000e+01,0.190000,1078.5987,5567.00,0.000000,1414.84
"HD 24040 b",12.90000000,1.58914203500000e+03,4.070000,0.0779,5802.00,0.040000,143.81
"Kepler-638 b",1.83000000,,3.600000,872.5670,5382.00,0.000000,1111.00
"Kepler-375 b",1.45000000,,4.870000,64.4440,5826.00,0.000000,851.00
"Kepler-1590 b",1.14000000,,5.750000,171.4780,6053.00,0.000000,1020.00
"Kepler-666 b",2.40000000,,2.520000,575.6440,5887.00,0.000000,1133.00
"Kepler-586 b",2.79000000,,2.070000,705.0510,5575.00,0.000000,1365.00
"HD 180053 b",13.30000000,,1.630000,17.6730,5131.00,0.081000,542.98
"Kepler-1827 b",1.85644292,,3.520000,1113.4000,5423.00,0.000000,1329.00
"Kepler-83 b",2.83000000,2.94000000000000e+00,0.520000,15.4120,4082.00,0.000000,460.00
"TOI-1410 c",5.63000000,,0.831000,4.1841,4635.00,0.000000,397.45
"Kepler-578 b",2.00000000,,3.200000,496.8980,5334.00,0.000000,1774.00
"TOI-3807 b",18.49481816,3.30541543280000e+02,0.289000,1230.0000,5772.00,0.000000,1646.00
"K2-392 b",1.85000000,,3.540000,,5726.00,,
"UKIRT-2017-BLG-001L b",13.70000000,4.07000000000000e+02,0.870000,,,,
"Kepler-239 b",2.33000000,,2.620000,34.7460,4914.00,0.000000,616.00
"Kepler-1812 b",2.32494240,,2.630000,270.3400,6174.00,0.000000,1034.00
"HD 191939 c",3.19500000,8.00000000000000e+00,1.350000,21.0000,5348.00,0.034000,600.00
"Kepler-931 b",1.33000000,,5.440000,72.4400,5241.00,0.000000,744.00
"Kepler-501 c",1.68119739,,4.010000,683.8400,5794.00,0.000000,1304.00
"TIC 38825265 b",2.18869476,,2.850000,,4375.52,,
"Kepler-1664 b",3.03320653,,1.860000,85.4600,5735.81,0.000000,776.00
"WASP-105 b",10.76064000,5.72094000000000e+02,2.650000,166.5368,5070.00,0.000000,900.00
"Kepler-58 b",2.78000000,3.55000000000000e+01,10.100000,112.9920,5843.00,0.040000,920.00
"GJ 887 b",1.80000000,,3.670000,7.8000,3688.00,0.140000,426.00
"TOI-1759 b",3.14000000,1.08000000000000e+01,1.910000,6.3900,4065.00,0.000000,443.00
"HIP 70849 b",12.90000000,1.43022783150000e+03,3.660000,0.0056,4105.00,0.650000,78.85
"KOI-142 b",3.43800000,9.50000000000000e+00,1.290000,68.5630,5466.00,0.055610,758.00
